Original Column,Source Dataset,Source File,Data Type,Baseline Role,Stage 02 Role,Provenance Status,Recovery Rationale
date,Processed_IoT_dataset,IoT_Fridge.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
time,Processed_IoT_dataset,IoT_Fridge.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
fridge_temperature,Processed_IoT_dataset,IoT_Fridge.csv,float64,Graph Attribute,Graph Attribute,OBSERVED,Maintained from Baseline V1 mapping
temp_condition,Processed_IoT_dataset,IoT_Fridge.csv,str,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
label,Processed_IoT_dataset,IoT_Fridge.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_IoT_dataset,IoT_Fridge.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
date,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
time,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
door_state,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
sphone_signal,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
label,Processed_IoT_dataset,IoT_Garage_Door.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
date,Processed_IoT_dataset,IoT_GPS_Tracker.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
time,Processed_IoT_dataset,IoT_GPS_Tracker.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
latitude,Processed_IoT_dataset,IoT_GPS_Tracker.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
longitude,Processed_IoT_dataset,IoT_GPS_Tracker.csv,float64,Ignored Attribute,Graph Node Property,OBSERVED,"Recovered as telemetry system resource / sensor metric for host, process, or device node"
label,Processed_IoT_dataset,IoT_GPS_Tracker.csv,int64,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
type,Processed_IoT_dataset,IoT_GPS_Tracker.csv,str,Graph Entity,Graph Entity,OBSERVED,Maintained from Baseline V1 mapping
date,Processed_IoT_dataset,IoT_Modbus.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
time,Processed_IoT_dataset,IoT_Modbus.csv,str,Metadata Attribute,Metadata Attribute,OBSERVED,Maintained from Baseline V1 mapping
