Entity Name,Entity Type,Source Dataset,Source File,Original Column,Data Type,Unique Count
label,Event,Processed_IoT_dataset,IoT_Fridge.csv,label,int64,2
type,Event,Processed_IoT_dataset,IoT_Fridge.csv,type,str,7
door_state,Device,Processed_IoT_dataset,IoT_Garage_Door.csv,door_state,str,2
light_status,Device,Processed_IoT_dataset,IoT_Motion_Light.csv,light_status,str,2
thermostat_status,Device,Processed_IoT_dataset,IoT_Thermostat.csv,thermostat_status,int64,2
PID,Process,Processed_Linux_dataset,linux_disk_1.csv,PID,int64,20905
CMD,Process,Processed_Linux_dataset,linux_disk_1.csv,CMD,str,642
label,Event,Processed_Linux_dataset,linux_disk_1.csv,label,int64,2
type,Event,Processed_Linux_dataset,linux_disk_1.csv,type,str,7
src_ip,Source IP,Processed_Network_dataset,Network_dataset_1.csv,src_ip,str,97
dst_ip,Destination IP,Processed_Network_dataset,Network_dataset_1.csv,dst_ip,str,1499
proto,Protocol,Processed_Network_dataset,Network_dataset_1.csv,proto,str,3
service,Service,Processed_Network_dataset,Network_dataset_1.csv,service,str,20
conn_state,Event,Processed_Network_dataset,Network_dataset_1.csv,conn_state,str,13
src_ip_bytes,Source IP,Processed_Network_dataset,Network_dataset_1.csv,src_ip_bytes,int64,2347
dst_ip_bytes,Destination IP,Processed_Network_dataset,Network_dataset_1.csv,dst_ip_bytes,int64,2295
http_user_agent,User,Processed_Network_dataset,Network_dataset_1.csv,http_user_agent,str,15
weird_name,Event,Processed_Network_dataset,Network_dataset_1.csv,weird_name,str,15
label,Event,Processed_Network_dataset,Network_dataset_1.csv,label,int64,2
type,Event,Processed_Network_dataset,Network_dataset_1.csv,type,str,2
uid,Session,Processed_Network_dataset,Network_dataset_6.csv,uid,str,999966
Processor_pct_ User_Time,User,Processed_Windows_dataset,windows10_dataset.csv,Processor_pct_ User_Time,str,35465
Process_pct_ User_Time,User,Processed_Windows_dataset,windows10_dataset.csv,Process_pct_ User_Time,str,35323
Process_Handle Count,Session,Processed_Windows_dataset,windows10_dataset.csv,Process_Handle Count,int64,12548
Memory Free System Page Table Entries,Host,Processed_Windows_dataset,windows10_dataset.csv,Memory Free System Page Table Entries,int64,8637
label,Event,Processed_Windows_dataset,windows10_dataset.csv,label,int64,2
type,Event,Processed_Windows_dataset,windows10_dataset.csv,type,str,8
Processor(_Total) pct_ User Time,User,Processed_Windows_dataset,windows7_dataset.csv,Processor(_Total) pct_ User Time,str,2735
Process(_Total) pct_ User Time,User,Processed_Windows_dataset,windows7_dataset.csv,Process(_Total) pct_ User Time,str,2568
Process(_Total) Handle Count,Session,Processed_Windows_dataset,windows7_dataset.csv,Process(_Total) Handle Count,int64,4682
