Entity ID,Entity Type,Dataset Source,Occurrence Frequency,Temporal Availability,Attack Label Availability,Relationship Participation,Attribute Count,Composite Key Availability,Graph Readiness Tag
EVT_001,Event,Processed_IoT_dataset,2,Yes,Yes,1,21,Yes,Ready
EVT_002,Event,Processed_IoT_dataset,7,Yes,Yes,1,21,Yes,Ready
DEVICE_001,Device,Processed_IoT_dataset,2,Yes,Yes,1,21,Yes,Ready
DEVICE_002,Device,Processed_IoT_dataset,2,Yes,Yes,1,21,Yes,Ready
DEVICE_003,Device,Processed_IoT_dataset,2,Yes,Yes,1,21,Yes,Ready
PROC_001,Process,Processed_Linux_dataset,20905,Yes,Yes,0,29,Yes,Conditional
PROC_002,Process,Processed_Linux_dataset,642,Yes,Yes,0,29,Yes,Conditional
EVT_003,Event,Processed_Linux_dataset,2,Yes,Yes,0,29,No,Conditional
EVT_004,Event,Processed_Linux_dataset,7,Yes,Yes,0,29,No,Conditional
SRCIP_001,Source IP,Processed_Network_dataset,97,Yes,Yes,1,47,Yes,Ready
DSTIP_001,Destination IP,Processed_Network_dataset,1499,Yes,Yes,1,47,Yes,Ready
PROTO_001,Protocol,Processed_Network_dataset,3,Yes,Yes,1,47,Yes,Ready
SVC_001,Service,Processed_Network_dataset,20,Yes,Yes,1,47,Yes,Ready
EVT_005,Event,Processed_Network_dataset,13,Yes,Yes,0,47,No,Conditional
SRCIP_002,Source IP,Processed_Network_dataset,2347,Yes,Yes,1,47,Yes,Ready
DSTIP_002,Destination IP,Processed_Network_dataset,2295,Yes,Yes,1,47,Yes,Ready
USER_001,User,Processed_Network_dataset,15,Yes,Yes,0,47,No,Conditional
EVT_006,Event,Processed_Network_dataset,15,Yes,Yes,0,47,No,Conditional
EVT_007,Event,Processed_Network_dataset,2,Yes,Yes,0,47,No,Conditional
EVT_008,Event,Processed_Network_dataset,2,Yes,Yes,0,47,No,Conditional
SESS_001,Session,Processed_Network_dataset,999966,Yes,Yes,0,47,No,Conditional
USER_002,User,Processed_Windows_dataset,35465,Yes,Yes,2,224,Yes,Ready
USER_003,User,Processed_Windows_dataset,35323,Yes,Yes,2,224,Yes,Ready
SESS_002,Session,Processed_Windows_dataset,12548,Yes,Yes,0,224,No,Conditional
HOST_001,Host,Processed_Windows_dataset,8637,Yes,Yes,0,224,Yes,Conditional
EVT_009,Event,Processed_Windows_dataset,2,Yes,Yes,0,224,No,Conditional
EVT_010,Event,Processed_Windows_dataset,8,Yes,Yes,0,224,No,Conditional
USER_004,User,Processed_Windows_dataset,2735,Yes,Yes,2,224,Yes,Ready
USER_005,User,Processed_Windows_dataset,2568,Yes,Yes,2,224,Yes,Ready
SESS_003,Session,Processed_Windows_dataset,4682,Yes,Yes,0,224,No,Conditional
