Original Column,Source Dataset,Source File,Data Type,Mapped Classification,Mapped Entity / Relationship,Description
date,Processed_IoT_dataset,IoT_Fridge.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
time,Processed_IoT_dataset,IoT_Fridge.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
fridge_temperature,Processed_IoT_dataset,IoT_Fridge.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
temp_condition,Processed_IoT_dataset,IoT_Fridge.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_IoT_dataset,IoT_Fridge.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_IoT_dataset,IoT_Fridge.csv,str,Graph Entity,Event,Serves as primary node representation for Event
date,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
time,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
door_state,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Graph Entity,Device,Serves as primary node representation for Device
sphone_signal,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_IoT_dataset,IoT_Garage_Door.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_IoT_dataset,IoT_Garage_Door.csv,str,Graph Entity,Event,Serves as primary node representation for Event
date,Processed_IoT_dataset,IoT_GPS_Tracker.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
time,Processed_IoT_dataset,IoT_GPS_Tracker.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
latitude,Processed_IoT_dataset,IoT_GPS_Tracker.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
longitude,Processed_IoT_dataset,IoT_GPS_Tracker.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_IoT_dataset,IoT_GPS_Tracker.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_IoT_dataset,IoT_GPS_Tracker.csv,str,Graph Entity,Event,Serves as primary node representation for Event
date,Processed_IoT_dataset,IoT_Modbus.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
time,Processed_IoT_dataset,IoT_Modbus.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
FC1_Read_Input_Register,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
FC2_Read_Discrete_Value,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
FC3_Read_Holding_Register,Processed_IoT_dataset,IoT_Modbus.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
