Source Entity,Relationship Type,Target Entity,Source Dataset,Supporting Columns,Evidence Column(s),Occurrence Count
Connection,uses,Protocol,Processed_Network_dataset,connection -> proto,connection -> proto,22339021
Device,generates,Event,Processed_IoT_dataset,device_sensor -> label,device_sensor -> label,3606134
Process,accesses,Asset,Processed_Windows_dataset,Processor(_Total) DPC Rate -> system_resource,Processor(_Total) DPC Rate -> system_resource,28367
Process,accesses,Asset,Processed_Windows_dataset,Processor_DPC_Rate -> system_resource,Processor_DPC_Rate -> system_resource,35975
Process,creates,Process,Processed_Windows_dataset,Process(_Total) Creating Process ID -> Processor(_Total) pct_ Idle Time,Process(_Total) Creating Process ID -> Processor(_Total) pct_ Idle Time,28367
Process,creates,Process,Processed_Windows_dataset,Process_Creating Process ID -> Processor_pct_ Idle_Time,Process_Creating Process ID -> Processor_pct_ Idle_Time,35975
Service,runs_on,Host,Processed_Network_dataset,service -> Host,service -> Host,22339021
Source IP,communicates_with,Destination IP,Processed_Network_dataset,src_ip -> dst_ip,src_ip -> dst_ip,22339021
User,executes,Process,Processed_Windows_dataset,Processor(_Total) pct_ User Time -> Processor(_Total) DPC Rate,Processor(_Total) pct_ User Time -> Processor(_Total) DPC Rate,28367
User,executes,Process,Processed_Windows_dataset,Processor_pct_ User_Time -> Processor_DPC_Rate,Processor_pct_ User_Time -> Processor_DPC_Rate,35975
