Edge Type,Source Node Type,Target Node Type,Edge Property,Data Type,Cardinality,Constraint,Evidence Column(s),Source Dataset
uses,Session,Protocol,timestamp,timestamp,N:1,FOREIGN_KEY_SOURCE_AND_TARGET,connection -> proto,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
uses,Session,Protocol,dst_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,dst_port,Processed_Network_dataset
uses,Session,Protocol,http_status_code,int64,N:1,OPTIONAL_EDGE_PROPERTY,http_status_code,Processed_Network_dataset
uses,Session,Protocol,src_port,int64,N:1,OPTIONAL_EDGE_PROPERTY,src_port,Processed_Network_dataset
