Node Type,Property Name,Data Type,Is Primary Key,Requirement,Description,Source Dataset
Destination IP,dst_ip,str,True,Mandatory (NOT NULL),Primary unique identifier for Destination IP node,Processed_Network_dataset
Destination IP,dst_ip_bytes,int64,False,Mandatory (NOT NULL),Entity attribute representing dst_ip_bytes,Processed_Network_dataset
Destination IP,duration,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Network_dataset
Destination IP,src_bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Network_dataset
Destination IP,dst_bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Network_dataset
Destination IP,missed_bytes,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_Network_dataset
Device,door_state,str,True,Mandatory (NOT NULL),Primary unique identifier for Device node,Processed_IoT_dataset
Device,light_status,str,False,Mandatory (NOT NULL),Entity attribute representing light_status,Processed_IoT_dataset
Device,thermostat_status,int64,False,Mandatory (NOT NULL),Entity attribute representing thermostat_status,Processed_IoT_dataset
Device,fridge_temperature,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Device,FC1_Read_Input_Register,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Device,FC2_Read_Discrete_Value,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Device,FC3_Read_Holding_Register,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Device,FC4_Read_Coil,int64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
Device,current_temperature,float64,False,Optional (NULLABLE),Numerical telemetry metric: Numerical telemetry or performance metric for entity,Processed_IoT_dataset
