sequence_id,dataset_source,sequence_length,start_timestamp,end_timestamp,sequence_duration_seconds,start_node_id,end_node_id,event_chain
SEQ_PRO_0001,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000081,TND_PRO_000066,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0002,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000067,TND_PRO_000072,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0003,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000073,TND_PRO_000100,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0004,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000101,TND_PRO_000112,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0005,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000113,TND_PRO_000124,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0006,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000125,TND_PRO_000136,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0007,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000137,TND_PRO_000148,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0008,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000149,TND_PRO_000160,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0009,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000161,TND_PRO_000172,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
SEQ_PRO_0010,Processed_IoT_dataset,12,31-Mar-19,31-Mar-19,0.0,TND_PRO_000173,TND_PRO_000184,Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0) -> (+0 ms) -> Device (0)
