Node ID,Node Type,Original Dataset,Degree Centrality,In-Degree Centrality,Out-Degree Centrality,PageRank Score,Betweenness Centrality,Graph Importance Rank,Industrial IIoT Significance
TND_PRO_001752,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,9.3e-05,0.000537,1,Critical Process Hub
TND_PRO_001753,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,2,Critical Process Hub
TND_PRO_001754,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000111,0.000537,3,Critical Process Hub
TND_PRO_001757,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.0001,0.000537,4,Critical Process Hub
TND_PRO_001758,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000104,0.000537,5,Critical Process Hub
TND_PRO_001759,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,6,Critical Process Hub
TND_PRO_001760,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000121,0.000537,7,Critical Process Hub
TND_PRO_001761,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000111,0.000537,8,Critical Process Hub
TND_PRO_001762,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000121,0.000537,9,Critical Process Hub
TND_PRO_001763,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,10,Critical Process Hub
TND_PRO_001764,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.00011,0.000537,11,Key Communication Endpoint
TND_PRO_001767,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.0001,0.000537,12,Key Communication Endpoint
TND_PRO_001768,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000103,0.000537,13,Key Communication Endpoint
TND_PRO_001769,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,14,Key Communication Endpoint
TND_PRO_001770,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,15,Key Communication Endpoint
TND_PRO_001771,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,16,Key Communication Endpoint
TND_PRO_001772,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000105,0.000537,17,Key Communication Endpoint
TND_PRO_001773,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,18,Key Communication Endpoint
TND_PRO_001774,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000122,0.000537,19,Key Communication Endpoint
TND_PRO_001775,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000106,0.000537,20,Key Communication Endpoint
TND_PRO_001776,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000104,0.000537,21,Key Communication Endpoint
TND_PRO_001777,Process,Processed_Linux_dataset,0.000632,0.000316,0.000316,0.000121,0.000537,22,Key Communication Endpoint
