edge_id,source_node,destination_node,relationship_type,temporal_ordering,relationship_properties,timestamp,confidence,dataset_source
EDG_100000,TND_PRO_000001,TND_PRO_000501,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 1, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 1, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100001,TND_PRO_000002,TND_PRO_000502,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 2, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 2, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100002,TND_PRO_000003,TND_PRO_000503,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 3, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 3, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100003,TND_PRO_000004,TND_PRO_000504,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 4, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 4, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100004,TND_PRO_000005,TND_PRO_000505,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 5, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 5, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100005,TND_PRO_000006,TND_PRO_000506,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 6, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 6, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100006,TND_PRO_000007,TND_PRO_000507,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 7, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 7, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100007,TND_PRO_000008,TND_PRO_000508,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 8, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 8, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100008,TND_PRO_000009,TND_PRO_000509,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 9, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 9, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
EDG_100009,TND_PRO_000010,TND_PRO_000510,generates,DOMAIN_SCHEMA_LINK,"{""cardinality"": ""1:N"", ""constraint"": ""SCHEMA_VALIDATED"", ""event_order"": 10, ""relative_time_seconds"": NaN, ""delta_time_ms"": 0.0, ""cumulative_elapsed_time"": NaN, ""sequence_position"": 10, ""sequence_duration"": 0.0}",31-Mar-19,1.0,Processed_IoT_dataset
