unique_id,node_type,original_dataset,properties,timestamp
TND_PRO_000001,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:52   "", ""fridge_temperature"": ""13.1"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000002,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:53   "", ""fridge_temperature"": ""8.65"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000003,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:54   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000004,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:55   "", ""fridge_temperature"": ""4.8"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000005,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:56   "", ""fridge_temperature"": ""10.7"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000006,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:57   "", ""fridge_temperature"": ""5.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000007,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:57   "", ""fridge_temperature"": ""11.65"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000008,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:58   "", ""fridge_temperature"": ""3.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000009,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:58   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000010,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:59   "", ""fridge_temperature"": ""6.95"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000011,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:36:59   "", ""fridge_temperature"": ""11.95"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000012,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:00   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000013,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:00   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000014,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:01   "", ""fridge_temperature"": ""2.0"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000015,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:01   "", ""fridge_temperature"": ""8.65"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000016,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:02   "", ""fridge_temperature"": ""12.95"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000017,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:02   "", ""fridge_temperature"": ""6.7"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000018,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:02   "", ""fridge_temperature"": ""2.3"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000019,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:03   "", ""fridge_temperature"": ""6.0"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000020,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:03   "", ""fridge_temperature"": ""5.8"", ""temp_condition"": ""low "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
TND_PRO_000021,Device,Processed_IoT_dataset,"{""date"": ""31-Mar-19"", ""time"": ""   12:37:03   "", ""fridge_temperature"": ""10.65"", ""temp_condition"": ""high "", ""label"": ""0"", ""type"": ""normal""}",31-Mar-19
